PID,task_no,condition,whole,early,mid,late,late_browser_dur,late_total_dur,late_any,span,n_fix,bug,correct
P5,3,correct,0.0756706140003812,0.0,0.0,0.22736197104763856,0.32083119710286456,1.411103165690104,1,8.835645747884115,1495,math33,Y
P6,1,correct,0.058742995157993465,0.09997380817589542,0.08038425914040374,0.0,0.0,3.4267886189778647,0,14.806294482421874,3028,chart12,Y
P6,2,control,0.1894301467682239,0.08454592990969796,0.0983296501806784,0.40077053368798005,2.254154846191406,5.6245523478190105,1,25.127084448242186,5227,lang10,N
P6,3,overfitting,0.21434271227902846,0.10349028500306834,0.380166180267396,0.13392615517648865,0.21124880777994792,1.5773528889973958,1,9.385783215332031,1977,math63,Y
P7,1,control,0.0,0.0,0.0,0.0,0.0,1.8552688069661458,0,25.163614335123697,3490,math50,N
P7,2,correct,0.0007391331552755934,0.0,0.0,0.00221881907292315,0.00513900146484375,2.3160975708007814,1,25.175697517903647,3133,math33,N
P8,1,correct,0.010763436796299831,0.029985831164821765,0.0,0.0,0.0,5.667612622070313,0,25.172353865559895,5199,lang10,Y
P8,2,overfitting,0.029763024841172495,0.029294879049796507,0.0600624067110764,0.0,0.0,5.884969934082031,0,25.22778341878255,5462,math50,N
P8,3,control,0.051268578881946324,0.14031229857218175,0.004378633351981711,0.0068095352672029085,0.042221736653645835,6.200384460449219,1,25.213339034016926,5242,math63,Y
P9,1,control,0.002132002641133695,0.0,0.0,0.0064652127107078985,0.039722224934895835,6.143993509928386,1,25.0652633992513,4597,math33,N
P9,2,overfitting,0.0,0.0,0.0,0.0,0.0,4.838030399576823,0,20.66154501953125,4119,math50,N
P9,3,correct,0.0,0.0,0.0,0.0,0.0,1.2315189819335937,0,5.649405350748698,1058,chart12,Y
